song,album,section,text
Cold as You,Taylor Swift,[Verse 2],"You put up walls and paint them all a shade of gray
And I stood there loving you and wished them all away
And you come away with a great little story
Of a mess of a dreamer with the nerve to adore you"
Cold as You,Taylor Swift,[Chorus],"Oh, what a shame, what a rainy ending
Given to a perfect day
So just walk away, ain't no use defending
Words that you will never say
And now that I'm sitting here thinking it through
I've never been anywhere cold as you"
Cold as You,Taylor Swift,[Bridge],"You never did give a damn thing, honey
But I cried, cried for you
And I know you wouldn't have told nobody
If I died, died for you, died for you"
Cold as You,Taylor Swift,[Chorus],"Oh, what a shame, what a rainy ending
Given to a perfect day, oh
Every smile you fake is so condescending
Counting all the scars you made
And now that I'm sitting here thinking it through
I've never been anywhere cold as you
Ooh-oh"
The Outside,Taylor Swift,[Verse 1],"I didn't know what I would find
When I went looking for a reason, I know
I didn't read between the lines
And, baby, I've got nowhere to go"
The Outside,Taylor Swift,[Pre-Chorus],"I tried to take the road less traveled by
But nothing seems to work the first few times
Am I right?"
The Outside,Taylor Swift,[Chorus],"So how can I ever try to be better?
Nobody ever lets me in
I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside"
The Outside,Taylor Swift,[Verse 2],"You saw me there, but never knew
That I would give it all up to be
A part of this, a part of you
And now, it's all too late, so you see"
The Outside,Taylor Swift,[Pre-Chorus],"You could've helped if you had wanted to
But no one notices until it's too late to do anything"
The Outside,Taylor Swift,[Chorus],"How can I ever try to be better?
Nobody ever lets me in
I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside"
The Outside,Taylor Swift,[Post-Chorus],"Oh, yeah"
The Outside,Taylor Swift,[Chorus],"How can I ever try to be better?
Nobody ever lets me in
And I can still see you, this ain't the best view
On the outside looking in
I've been a lot of lonely places
I've never been on the outside"
The Outside,Taylor Swift,[Outro],"Oh-oh
Oh, oh-oh
Oh-oh
Oh-oh"
Tied Together with a Smile,Taylor Swift,[Verse 1],"Seems the only one who doesn't see your beauty
Is the face in the mirror looking back at you
You walk around here thinking you're not pretty
But that's not true
'Cause I know you"
Tied Together with a Smile,Taylor Swift,[Chorus],"Hold on, baby, you're losing it
The water's high, you're jumping into it and letting go
And no one knows
That you cry, but you don't tell anyone
That you might not be the golden one
And you're tied together with a smile
But you're coming undone, oh"
Tied Together with a Smile,Taylor Swift,[Verse 2],"I guess it's true that love was all you wanted
'Cause you're giving it away like it's extra change
Hoping it will end up in his pocket (Pocket)
But he leaves you out like a penny in the rain
Oh, 'cause it's not his price to pay
It's not his price to pay"
Tied Together with a Smile,Taylor Swift,[Chorus],"Hold on, baby, you're losing it
The water's high, you're jumping into it and letting go
And no one knows
That you cry, but you don't tell anyone
That you might not be the golden one
And you're tied together with a smile
But you're coming undone, oh
Oh, oh"
Tied Together with a Smile,Taylor Swift,[Chorus],"Hold on, baby, you're losing it
The water's high, you're jumping into it and letting go
And no one knows
That you cry but you don't tell anyone
That you might not be the golden one
And you're tied together with a smile
But you're coming undone, oh"
Tied Together with a Smile,Taylor Swift,[Outro],"You're tied together with a smile
But you're coming undone, oh, oh-oh
Goodbye, baby
With a smile, baby, baby
Oh"
Stay Beautiful,Taylor Swift,[Verse 1],"Cory's eyes are like a jungle
He smiles, it's like the radio
He whispers songs into my window
In words that nobody knows
There's pretty girls on every corner
They watch him as he's walking home
Saying, ""Does he know?""
Will you ever know?"
Stay Beautiful,Taylor Swift,[Chorus],"You're beautiful, every little piece, love
Don't you know you're really gonna be someone?
Ask anyone
And when you find everything you looked for
I hope your life leads you back to my door
Oh, but if it don't
Stay beautiful"
